buy_now,spot,ladder,hedge
26456318.3347463,26505864.63944979,26219746.21437592,26010776.8141106
26456318.3347463,25439125.45627594,25450005.29302594,25690755.059158444
26456318.3347463,26710454.790649615,27145408.037692487,26072153.859470546
26456318.3347463,25884537.15388591,25346560.528192624,25824378.568441436
26456318.3347463,25471193.903683513,25090572.163822096,25700375.59338072
26456318.3347463,26345884.43097719,26051693.158174343,25962782.751568824
26456318.3347463,25363259.235101953,25414237.055853464,25667995.19280625
26456318.3347463,25378832.06045883,25434003.741731558,25672667.040413313
26456318.3347463,25443024.504912704,25895487.905863807,25691924.773749474
26456318.3347463,24508666.88555826,25771249.560768582,25411617.487943143
26456318.3347463,25631670.268342555,25458985.10190187,25748518.50277843
26456318.3347463,26147547.663036663,25312794.050092705,25903281.72118666
26456318.3347463,25558208.727039512,26577508.00855132,25726480.04038752
26456318.3347463,25028103.62553287,25028282.399107594,25567448.509935524
26456318.3347463,26303839.667680204,26529338.46133381,25950169.322579727
26456318.3347463,24725827.54977757,25106184.65860923,25476765.687208936
26456318.3347463,25648651.366864126,25716025.981900714,25753612.832334902
26456318.3347463,26444873.81289091,26444966.11610268,25992479.566142935
26456318.3347463,25705076.672521565,26245005.524200603,25770540.424032133
26456318.3347463,26096808.767717626,25718249.102474924,25888060.05259095
26456318.3347463,27125798.452171035,26062255.19666503,26196756.957926974
26456318.3347463,27125096.26151807,26800478.129625756,26196546.300731085
26456318.3347463,25647395.200031582,25536939.866168793,25753235.98228514
26456318.3347463,24814300.841625758,26456295.151557792,25503307.674763393
26456318.3347463,25156966.123283118,25443718.958522364,25606107.2592606
26456318.3347463,26395979.41270829,27077180.04849113,25977811.24608815
26456318.3347463,26292061.8017954,25896890.387781605,25946635.962814286
